"Date","Total_Type0_Amount","Total_Type1_Amount","Total_Amount","Total_TP_Amount"
"2022-02-22",40606.35,13067.19,53673.54,53606.12
"2022-02-23",39918.19,12903.57,52821.76,52796.02
"2022-02-24",40088.34,12406.34,52494.68,52465.1
"2022-02-25",39168.38,12783.05,51951.43,51919.63
"2022-02-26",40698.55,12390.49,53089.04,53080.8
"2022-02-27",39382.07,12702.21,52084.28,52084.29
"2022-02-28",40874.25,12375.37,53249.62,53249.64
"2022-03-01",41430.67,13086.81,54517.48,54451.39
"2022-03-02",40911.27,11868.66,52779.93,52748.96
"2022-03-03",40205.61,12800.4,53006.01,53006.01
"2022-03-04",38962.08,13180.47,52142.55,52123.49
"2022-03-05",38774.54,13023.56,51798.1,51798.08
"2022-03-06",39956.39,12956.1,52912.49,52912.48
"2022-03-07",39274.48,13173.61,52448.09,52448.08
"2022-03-08",40647.7,11998.44,52646.14,52604.79
"2022-03-09",40472.39,12553.13,53025.52,52948.46
"2022-03-10",41497.12,12568.03,54065.15,54004.06
"2022-03-11",40304.42,12760.37,53064.79,53064.81
"2022-03-12",40993.77,12939.89,53933.66,53933.65
"2022-03-13",40002.98,12962.68,52965.66,52945.07
"2022-03-14",41274.87,12550.97,53825.84,53825.81
"2022-03-15",38970.08,12537.19,51507.27,51485.29
"2022-03-16",40110.64,12544.71,52655.35,52630.02
"2022-03-17",41837.45,12461.52,54298.97,54298.97
"2022-03-18",40137.53,12262.68,52400.21,52345.05
"2022-03-19",41721.55,12673.84,54395.39,54352.5
"2022-03-20",39736.54,12625.78,52362.32,52312.66
"2022-03-21",41758.71,13563.39,55322.1,55285.43
"2022-03-22",40636.65,12394.28,53030.93,53020.38
"2022-03-23",41949.83,12877.83,54827.66,54827.65
"2022-03-24",38799.31,11710.15,50509.46,50509.44
"2022-03-25",40000.21,13066.54,53066.75,53040.52
"2022-03-26",40818.88,12559.27,53378.15,53378.15
"2022-03-27",40143.64,12699.15,52842.79,52842.79
"2022-03-28",40093.03,12517.82,52610.85,52580.93
"2022-03-29",40490.52,13342.01,53832.53,53832.52
"2022-03-30",38540.68,13125.79,51666.47,51658.31
"2022-03-31",40739.21,13756.15,54495.36,54448.88
"2022-04-01",40652.87,13758.01,54410.88,54379.13
"2022-04-02",40605.26,12390.27,52995.53,52970.34
"2022-04-03",38165.39,12301.82,50467.21,50458.02
"2022-04-04",40320.25,12240.69,52560.94,52519.7
"2022-04-05",40764.31,12955.74,53720.05,53675.95
"2022-04-06",39167.4,12753.14,51920.54,51920.53
"2022-04-07",40990.75,13626.25,54617.0,54560.18
"2022-04-08",41735.61,12627.04,54362.65,54318.76
"2022-04-09",39462.39,13032.18,52494.57,52460.24
"2022-04-10",39181.68,12714.58,51896.26,51875.64
"2022-04-11",37693.81,12025.41,49719.22,49719.22
"2022-04-12",41743.18,12252.95,53996.13,53965.6
"2022-04-13",41481.05,12930.34,54411.39,54382.48
"2022-04-14",40844.11,12148.11,52992.22,52972.33
"2022-04-15",41710.93,12800.37,54511.3,54511.31
"2022-04-16",40765.13,12513.66,53278.79,53278.8
"2022-04-17",40514.24,12668.34,53182.58,53173.73
"2022-04-18",40407.9,12938.22,53346.12,53346.13
"2022-04-19",42557.35,14319.18,56876.53,56860.34
"2022-04-20",40963.65,12785.69,53749.34,53749.34
"2022-04-21",40756.29,12945.66,53701.95,53676.79
"2022-04-22",42168.16,11805.07,53973.23,53956.75
"2022-04-23",41260.16,12281.19,53541.35,53528.05
"2022-04-24",39153.95,12959.5,52113.45,52071.49
"2022-04-25",39522.51,11891.96,51414.47,51414.49
"2022-04-26",39079.22,12202.96,51282.18,51261.4
"2022-04-27",41069.22,12877.59,53946.81,53907.54
"2022-04-28",40566.34,12607.89,53174.23,53174.22
"2022-04-29",39892.01,12535.07,52427.08,52382.5
"2022-04-30",40853.5,12453.62,53307.12,53291.81
"2022-05-01",39211.11,11984.55,51195.66,51171.96
"2022-05-02",39842.55,12608.58,52451.13,52438.21
"2022-05-03",40987.9,11954.77,52942.67,52885.97
"2022-05-04",41545.86,13295.29,54841.15,54823.4
"2022-05-05",41137.28,13246.49,54383.77,54326.44
"2022-05-06",43636.48,13266.67,56903.15,56883.42
"2022-05-07",40271.24,13523.53,53794.77,53763.25
"2022-05-08",40165.05,12404.69,52569.74,52569.73
"2022-05-09",39499.51,13250.01,52749.52,52749.52
"2022-05-10",40802.5,12784.36,53586.86,53557.23
"2022-05-11",39440.04,13858.74,53298.78,53274.85
"2022-05-12",40706.42,13026.81,53733.23,53661.06
"2022-05-13",39566.78,13372.93,52939.71,52939.71
"2022-05-14",38844.39,13545.61,52390.0,52323.24
"2022-05-15",38905.7,12446.23,51351.93,51351.95
"2022-05-16",41816.36,13292.11,55108.47,55108.49
"2022-05-17",40548.27,13048.5,53596.77,53569.7
"2022-05-18",40532.32,11807.25,52339.57,52299.87
"2022-05-19",40002.44,12336.59,52339.03,52281.11
"2022-05-20",40722.11,12757.52,53479.63,53457.81
"2022-05-21",40580.36,12649.03,53229.39,53207.24
"2022-05-22",40043.42,11512.53,51555.95,51551.47
"2022-05-23",40557.17,12218.98,52776.15,52776.13
"2022-05-24",39179.06,12995.72,52174.78,52143.26
"2022-05-25",40146.26,13874.97,54021.23,53995.4
"2022-05-26",39558.57,11546.55,51105.12,51081.3
"2022-05-27",42781.16,12682.67,55463.83,55438.85
"2022-05-28",40501.92,13148.19,53650.11,53650.1
"2022-05-29",40701.58,13037.12,53738.7,53685.6
"2022-05-30",41568.59,12119.06,53687.65,53608.62
"2022-05-31",40872.3,12367.64,53239.94,53224.09
"2022-06-01",39869.35,12040.62,51909.97,51894.76
"2022-06-02",39750.13,12894.73,52644.86,52644.86
"2022-06-03",39165.45,12902.97,52068.42,52068.4
"2022-06-04",41349.83,11995.78,53345.61,53322.91
"2022-06-05",39964.33,12677.0,52641.33,52561.92
"2022-06-06",40054.39,11947.52,52001.91,51980.1
"2022-06-07",39565.43,13900.36,53465.79,53443.29
"2022-06-08",39507.68,12357.38,51865.06,51865.06
"2022-06-09",38536.59,12476.21,51012.8,50987.76
"2022-06-10",38942.33,11614.38,50556.71,50541.06
"2022-06-11",41072.24,12086.71,53158.95,53133.78
"2022-06-12",40035.94,12874.44,52910.38,52875.17
"2022-06-13",39138.32,13751.82,52890.14,52890.14
"2022-06-14",40823.03,13338.64,54161.67,54119.28
"2022-06-15",41550.98,12275.17,53826.15,53812.04
"2022-06-16",39327.57,12205.84,51533.41,51477.09
"2022-06-17",38827.08,13020.28,51847.36,51815.19
"2022-06-18",41175.37,11864.31,53039.68,53019.05
"2022-06-19",41228.63,13058.87,54287.5,54269.06
"2022-06-20",41896.28,12152.68,54048.96,54048.95
"2022-06-21",40136.13,12038.74,52174.87,52153.69
"2022-06-22",40324.32,12752.04,53076.36,53076.35
"2022-06-23",38926.13,11697.59,50623.72,50567.58
"2022-06-24",40855.52,11686.95,52542.47,52504.31
"2022-06-25",41410.28,12659.93,54070.21,54062.2
"2022-06-26",41610.09,12790.72,54400.81,54328.77
"2022-06-27",40797.49,12322.92,53120.41,53081.29
"2022-06-28",40162.25,12905.99,53068.24,53068.24
"2022-06-29",38134.53,13549.65,51684.18,51661.05
"2022-06-30",38479.59,12603.06,51082.65,51082.65
"2022-07-01",41527.58,13181.39,54708.97,54687.38
"2022-07-02",41369.43,12769.52,54138.95,54138.96
"2022-07-03",41723.85,11827.33,53551.18,53499.45
"2022-07-04",40529.64,13215.38,53745.02,53707.43
"2022-07-05",42454.57,12619.13,55073.7,55073.71
"2022-07-06",40638.58,12648.59,53287.17,53226.82
"2022-07-07",41103.22,11561.77,52664.99,52629.99
"2022-07-08",41882.7,12549.78,54432.48,54361.55
"2022-07-09",40200.03,12058.19,52258.22,52258.22
"2022-07-10",41290.85,12877.28,54168.13,54087.13
"2022-07-11",42333.62,12492.07,54825.69,54825.68
"2022-07-12",42290.65,12445.23,54735.88,54706.57
"2022-07-13",40189.71,12849.35,53039.06,53039.06
"2022-07-14",38913.49,12002.79,50916.28,50854.91
"2022-07-15",39231.17,12779.79,52010.96,51997.96
"2022-07-16",39088.96,12888.29,51977.25,51977.26
"2022-07-17",40054.14,12710.44,52764.58,52764.56
"2022-07-18",39891.19,11961.32,51852.51,51852.53
"2022-07-19",40631.85,13370.15,54002.0,54002.0
"2022-07-20",40502.07,13366.7,53868.77,53824.67
"2022-07-21",40785.94,12352.5,53138.44,53105.2
"2022-07-22",37941.36,11915.68,49857.04,49801.88
"2022-07-23",40169.83,14002.58,54172.41,54120.49
"2022-07-24",40015.78,13409.85,53425.63,53418.85
"2022-07-25",39117.35,13400.21,52517.56,52499.91
"2022-07-26",40835.66,13314.52,54150.18,54066.96
"2022-07-27",40719.05,13116.96,53836.01,53836.0
"2022-07-28",40009.54,12836.89,52846.43,52796.59
"2022-07-29",40835.39,12473.73,53309.12,53294.42
"2022-07-30",41395.05,12204.24,53599.29,53599.31
"2022-07-31",40025.31,12709.24,52734.55,52695.44
"2022-08-01",41013.35,12880.13,53893.48,53853.7
"2022-08-02",40377.53,12834.34,53211.87,53180.09
"2022-08-03",38675.73,13262.45,51938.18,51892.76
"2022-08-04",37979.22,13598.81,51578.03,51578.02
"2022-08-05",40652.19,12332.51,52984.7,52966.57
"2022-08-06",42205.83,12702.26,54908.09,54904.28
"2022-08-07",40970.83,12027.84,52998.67,52984.44
"2022-08-08",40663.19,12995.53,53658.72,53658.72
"2022-08-09",41782.29,12720.44,54502.73,54464.36
"2022-08-10",39571.23,13320.05,52891.28,52810.86
"2022-08-11",38641.91,12274.23,50916.14,50885.25
"2022-08-12",41119.86,11697.64,52817.5,52806.13
"2022-08-13",39951.12,12533.23,52484.35,52459.14
"2022-08-14",41637.07,12813.83,54450.9,54423.17
"2022-08-15",41760.08,14153.96,55914.04,55914.05
"2022-08-16",41285.07,12619.51,53904.58,53837.73
"2022-08-17",38096.15,13504.63,51600.78,51501.65
"2022-08-18",40396.88,12530.09,52926.97,52916.38
"2022-08-19",40723.21,13512.43,54235.64,54235.65
"2022-08-20",17438.44,5620.68,23059.12,23052.07
"2022-08-21",8356.47,2529.02,10885.49,10885.5
"2022-08-22",7405.71,2473.78,9879.49,9879.48
"2022-08-23",2018.6,577.61,2596.21,2596.21
